c21a-16e1a59a drone:test [11/Apr/2018:11:17:37 -0700] - %o [ 'DONE' ]
821f-3a1eef71 drone:test [11/Apr/2018:12:42:49 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:42:50 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:42:51 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:42:52 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:42:53 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:42:54 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:42:55 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:42:56 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:42:57 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:42:58 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:42:59 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:00 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:01 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:02 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:03 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:04 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:05 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:06 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:07 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:08 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:09 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:10 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:11 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:12 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:13 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:14 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:15 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:16 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:17 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:18 -0700] - DONE hasdas three
821f-3a1eef71 drone:test [11/Apr/2018:12:43:19 -0700] - DONE hasdas three
